Canonical_Word	Aliases
cista	cista, cysta, scista, sista
cistam	cistam
cistarum	cistarum
cisti	cisti, cisty, cysti, scisti, sisti
citernado	citernado
cithara	cithara
cithera	cithera
citrenad	citrenad, citrenade, sitrenad, sitrenade
citrili	citrili, citrilli
citrinad	citrinad, citrinade, citronad, citronade, sitrinad, sitrinade, sitronad
citronat	citronat, citronate, sitronat, sitronate, sytronate
citroni	citroni
citurnad	citurnad, citurnade
civ	civ, cive, siv, sive, syve
civi	civi
civibu	civibu
civitat	civitat, civitate
civitati	civitati
ck	ck, cke
cl	cl, cle
clairicord	clairicord, clayrycorde
claiv	claiv
clap	clap, clape
clapbord	clapbord, clapborde
clapburd	clapburd, clapburde
clapcer	clapcer
clapehold	clapehold, clappehold
clapeholt	clapeholt, clappeholte
claphold	claphold, clapholde
clapholt	clapholt, clapholte, clapholtt, clappholt
clapold	clapold
claps	claps, clapse
clapsez	clapsez
clapsi	clapsi, clapsy
claricord	claricord, claricorde, clarycorde
clarion	clarion
clasp	clasp, claspe
claspi	claspi, claspy
clausarum	clausarum
clav	clav
clavi	clavi
clavicord	clavicord, clavicorde
claviculi	claviculi
clavisimbali	clavisimbali
clavium	clavium
clavo	clavo
clavorum	clavorum
clavu	clavu
clawark	clawark
cleket	cleket, clekette
cleketorum	cleketorum, clekettorum
clerico	clerico
clesm	clesm, clesme
clift	clift, clifte
clifti	clifti
cliketorum	cliketorum, clikettorum
clipclap	clipclap, clipclapp, clipclappe, clipeclap, clippclap, clippclapp, clippeclap, clypclappe
clipclop	clipclop
clism	clism, clysme
clist	clist, cliste, clyste
clithi	clithi
clo	clo, clow, clowe, klo
cloath	cloath, cloathe
cloethez	cloethez
clog	clog, cloge, clogge
cloith	cloith, cloithe, cloyth
clok	clok, cloke
clook	clook, clooke
clopbord	clopbord, clopborde
clopburd	clopburd, clopburde
clopholt	clopholt
clos	clos, close, closse
clot	clot, clotte
cloth	cloth, clothe, clotthe
clother	clother, clothere
clothes	clothes
clothez	clothez
clothi	clothi, clothie, clothy, clothye, clotthi, klothi, klothy
clothu	clothu
clothwerkar	clothwerkar
clothz	clothz
clought	clought, cloughte, clout, cloute, cloutte, clouwt, clouwte
cloughth	cloughth
clouk	clouk, clouke
clous	clous
clouth	clouth, clouthe
clouti	clouti
clouting	clouting, cloutyng
cloutz	cloutz
clov	clov, clove
clovez	clovez
clovi	clovi, clovy
clowez	clowez
clowi	clowi, clowy
clows	clows, clowse
clowt	clowt, clowte, clowtte
clowtz	clowtz
clut	clut, clute
co	co
coal	coal, coale, kol, kole
coar	coar, cor, core, corr
cob	cob
cobard	cobard, cobarde, cobbarde
cobborde	cobborde, cobord, coborde
coberd	coberd
cobet	cobet, cobette
cobi	cobi
cobler	cobler
cobo	cobo
cocard	cocard, cocarde
coch	coch, coche, cock, cocke, cok, coke, kaak, kaake
cocleari	cocleari
coclearibu	coclearibu
cocliaribu	cocliaribu
cocliarium	cocliarium
cod	cod, codd, codde, code
coddi	coddi, coddy, codi
codhed	codhed, codhede
codished	codished, codishede
codling	codling, codlinge, codlyng, codlynge
codshed	codshed, codshede
cofen	cofen, coffen
cofer	cofer, cofere, coffer, coffere, cofferr, kofer
coferi	coferi
coffi	coffi, cofi
coffin	coffin, coffyn, coffyne, cofin, cofine, cofyn
coffir	coffir, coffirre, coffyr, cofir, cofire, cofirre, cofyr
coffre	coffre, cofr, cofre
cofino	cofino, cofyno
cofri	cofri
cofterel	cofterel, cofterelle
cogbord	cogbord
cogbordi	cogbordi, cogbordy
cogebordez	cogebordez, coggebordez
cogwar	cogwar, cogware
coief	coief, coyeffe
coif	coif, coyffe
coifarum	coifarum, coiffarum
coishen	coishen, coishon, coison, coysshen, coysshon, coysson
coiv	coiv, coyve
cokard	cokard, cokarde, cokerd, cokkarde
cokbel	cokbel, cokbelle
coker	coker, cokere
coket	coket, cokette
coketi	coketi, coketti
coketo	coketo, coketto
cokliarium	cokliarium
cola	cola, colla
colaquintela	colaquintela
colarati	colarati
colarum	colarum, collarum
colberd	colberd, colberde
colder	colder
colebed	colebed, colebede
colector	colector, collectore
colectoribu	colectoribu, collectoribu
colectorum	colectorum, collectorum
colefish	colefish, colefissh, colefisshe
colenbin	colenbin, colenbyne
coler	coler, colere, coller
colerd	colerd, colered, collered
colerid	colerid
coli	coli, colli, coly
coliander	coliander
coliaunder	coliaunder, coliaundr, coliaundre, collyaunder
coliquintida	coliquintida, coliquyntida
colirid	colirid
collorede	collorede, colord, colored, coloured, cullored, culored
collorum	collorum, colorum
collquintida	collquintida, colquintida
colmein	colmein, colmeyne
colobii	colobii
colobio	colobio
coloquintica	coloquintica
coloquintida	coloquintida, coloquyntyda
color	color, colore, colour, coloure
colorati	colorati
colorato	colorato
coloratorum	coloratorum
colori	colori, colory
coloribu	coloribu
colorid	colorid, coloryd
colourz	colourz
colowred	colowred
columbin	columbin, columbyn, columbyne
com	com, come, komb, kombe
coman	coman
comb	comb, combe
combehed	combehed, combehede
combez	combez
combhed	combhed, combhede
combi	combi, comby
combusti	combusti
combz	combz
comeb	comeb, comebe
comeplit	comeplit
cometo	cometo
comfeccioni	comfeccioni, comfecioni
comfect	comfect, comfecte
comferi	comferi, comfery
comfet	comfet, comfete, comfett, comfette, comffette
comfeti	comfeti, comfetti
comffytte	comffytte, comfit, comfytte
comfitz	comfitz
comin	comin, commyn, commyne, comyn
comit	comit, comite
comitatu	comitatu
comiti	comiti
comito	comito, comyto
commorante	commorante, comorant
commune	commune, comun
communi	communi, comuni
communibu	communibu, comunibu
como	como
compa	compa, cumpa
compac	compac, compace
compain	compain, compayn, compayne
compais	compais, compayse
compan	compan
compania	compania
compano	compano
compas	compas, compase, compass, compasse
compasez	compasez, compassez
compasi	compasi, compassi, compasy
compassz	compassz, compasz
complet	complet, complete, complett
completion	completion
compon	compon, compone
compost	compost
compoti	compoti
compotorio	compotorio
compotum	compotum
compter	compter
computariorum	computariorum
con	con, cone
concervi	concervi, concervy, conservi, conservy
concesam	concesam, concessam
condit	condit, condite
conek	conek
conent	conent
confeccion	confeccion, confeccione, confeccyon, confecion
confeccioni	confeccioni, confecioni
confect	confect
confecta	confecta
confectam	confectam
confectarum	confectarum
confection	confection
confectioni	confectioni
confederatum	confederatum
confesion	confesion, confession
confesioun	confesioun, confessioun
confet	confet, confete
confeti	confeti
confitur	confitur, confiture
confracti	confracti
congari	congari, congary
conger	conger, conggour, congour
congr	congr, congre, kongr, kongre
congur	congur, congure
coni	coni, cony
coniculi	coniculi, coniculli
coniculini	coniculini
conicullorum	conicullorum, coniculorum
coniskin	coniskin, connyskyn, conyskyn, conyskynne, conysskyn
conquestum	conquestum
conri	conri
consanguineo	consanguineo
conselio	conselio
conserv	conserv, conserve
conserva	conserva
conservo	conservo
consideratum	consideratum
consilio	consilio
consilium	consilium
constabularii	constabularii
cont	cont, conte
conta	conta
contain	contain, contayn
containg	containg, contayng
containing	containing, containyng, contayning, contayninge, contaynyng, contaynynge
contan	contan
contani	contani
contaning	contaning, contanyng, contening, contenyng, contenynge
conteiing	conteiing, conteyinge
conteineng	conteineng, conteyneng
conteinin	conteinin, conteynyn
conteining	conteining, conteynnyng, conteynyng, conteynynge, contining, contteyninge, contyninge
conteit	conteit, conteyt
contenc	contenc, contence
contencion	contencion
conteneing	conteneing, contenneyng
content	content, contente, contentt, contentte
contenta	contenta
conter	conter, cunter
conterfait	conterfait, conterfaitt
conterfet	conterfet, conterfete
contet	contet
contiencium	contiencium
contient	contient, contiente
contientibu	contientibu
contin	contin, contine
continen	continen, continene
continencium	continencium
continenibu	continenibu
continent	continent, continente
continentem	continentem
continentibu	continentibu
continetur	continetur
contingentibu	contingentibu
continued	continued
contour	contour
contrafactorum	contrafactorum
contrafet	contrafet, contrafete, contrafette, contrefet, contrefete, contrefette
contrarotulamentum	contrarotulamentum
cood	cood, coode
cool	cool, coole
cooli	cooli, cooly
cooper	cooper, coopper, cuper
cooperatorii	cooperatorii
cooperatorio	cooperatorio
cooperti	cooperti
coopertorii	coopertorii
coopertorio	coopertorio
coopertorum	coopertorum
coopertur	coopertur, cooperture
cooperturi	cooperturi
cop	cop, cope, copp, coppe
copara	copara, coppara
copbord	copbord, copborde
copebord	copebord, coppebord, coppeborde
coper	coper, copere, coperou, copor, coporou, copper, coppere, copperou, coppor, copporou, copr, copre, copur
copera	copera, coppera
coperi	coperi
copero	copero, coppero
coperos	coperos, coperose, coperosse, coporos, coporose, copperose, copprose, copros, coprose, coprosse
copertorii	copertorii
copertorio	copertorio
coperu	coperu, copperu
cophini	cophini
copi	copi, coppi
copil	copil, copill
copin	copin, coppyn, copyn
copir	copir, copyr
copiro	copiro, copyrro
copl	copl, cople, copple
copli	copli
copling	copling, coplyng
copord	copord, coppord
coporo	coporo, copporo
coporoken	coporoken
copras	copras, coprasse
copri	copri
copro	copro
copul	copul, copule, copull, copulle
copula	copula
copuli	copuli
cora	cora
corac	corac, corace
coracez	coracez
corag	corag, corage
corail	corail, coraille
coral	coral, corale, corall, coralle, corrall
corali	corali, coralli
corallo	corallo, coralo
coran	coran, corran
coranc	coranc, corance
corant	corant, corante, corrante, corrantte
coranth	coranth, corranth
corantz	corantz, corrantz
coratorum	coratorum, corratorum
coraun	coraun
coraunc	coraunc, coraunce
coraunt	coraunt, corraunte
corc	corc, corce, cork, corke, kork, korke
corchif	corchif, corchiffe
cord	cord, corde, corrde
cordarum	cordarum
cordcap	cordcap, cordcappe
cordecap	cordecap, cordecappe
cordener	cordener
cordewain	cordewain, cordewayn, cordewayne
cordewan	cordewan, cordewane, cordewen, cordewene
cordewein	cordewein, cordeweyn, cordeweyne
cordewin	cordewin, cordewyn, cordewyne
cordez	cordez
cordi	cordi
cordiner	cordiner, cordyner
cordkapi	cordkapi, cordkappi
cordkappu	cordkappu, cordkapu
cordw	cordw
cordwai	cordwai, cordway
cordwain	cordwain, cordwayn, cordwayne
cordwan	cordwan
cordwein	cordwein, cordweyn, cordweyne
cordwin	cordwin, cordwyn
corea	corea, coria, corria
coreatarum	coreatarum
coree	coree, corii, corrii
corei	corei
coreo	coreo, corio
corf	corf, corfe, corff, corffe, korf, korff
corfer	corfer
corffy	corffy, corfi, corfy
corffz	corffz, corfz
coriondl	coriondl, coriondle
coriorum	coriorum, corriorum
corium	corium
cornet	cornet, cornette
cornibu	cornibu
cornu	cornu
cornubu	cornubu
cornuum	cornuum
corrupt	corrupt, corupt
corrupti	corrupti, corupti
corruptorum	corruptorum, coruptorum
corrutpett	corrutpett, corutpet
cors	cors, corse, corsse, cours, course, coursse
corsaie	corsaie, corsaye
corsei	corsei, corssey, kersei, kersey, kerssey
corselet	corselet, corselete, corselette
corset	corset, corsette
corsi	corsi, corssy, corsy
corslet	corslet, corslete, corslette
cortein	cortein, corteyn
corten	corten, courten
cortin	cortin, cortyn, courtin
corto	corto
corv	corv, corve
corvi	corvi, corvy
corwin	corwin, corwyn
corx	corx
coschen	coschen
coschin	coschin, coschyn
coschon	coschon
coshen	coshen, coshon, cosshen, cosshon
coshin	coshin, coshyn, cosshyn
coshing	coshing, coshyng
coster	coster, costere
costmari	costmari, costmary
costrez	costrez
cot	cot, cote, cott, cotte
cotelbon	cotelbon, cotelbone
cotelboni	cotelboni
cotellorum	cotellorum, cotelorum
coten	coten, coton, cotone, cotten, cotton, cottone, cottun, cotun, koton, kotton, kottone
cothnil	cothnil, cothnyle
cotil	cotil, cotille
cotilbon	cotilbon, cotilbone, cottilbone
cotilboni	cotilboni, cotilbony, cotillbony
cotilbonz	cotilbonz
cotin	cotin, cottyn, cotyn
cotinlg	cotinlg, cotinlge
coto	coto, cotto
cotoni	cotoni, cottoni
cotono	cotono, cottono
cotorum	cotorum
cotoun	cotoun, cottoun
cotounz	cotounz, cottounz
coubbord	coubbord, coubord
couch	couch, couche, cowch, cowche
coulerd	coulerd, coullerd
coultellorum	coultellorum, coultelorum
coumb	coumb, coumbe
counger	counger
couniskin	couniskin, couniskyn
counter	counter, countere, countor, countter, countur, cownter, cowntr, cowntre
counterfait	counterfait
counterfet	counterfet, counterfete, counterfett, counterfette, cownterfet
counteri	counteri
counting	counting
counto	counto
countour	countour, cowntour, kountour
countourz	countourz
countrefet	countrefet, countrefete, countrefette
countrefetz	countrefetz
coup	coup, coupe, cu, kew, kewe, que
coupbord	coupbord, coupborde, coupebord, cupebord, cuppeborde
couper	couper
coupernail	coupernail, coupernaile
coupl	coupl, couple
coupul	coupul, coupulle
cour	cour
courcomb	courcomb, courcombe
courz	courz
coushon	coushon, cousshon, kaisen, kaysen
couton	couton, cowten, cowton
coutour	coutour
cover	cover
coverchef	coverchef
covercl	covercl, covercle, coverkel, coverkele, coverkl, coverkle
coverd	coverd, coverde, covered
coveri	coveri, covery
coverid	coverid
covering	covering, coveringe, coveryng, coverynge, kovering, koverynge
coverital	coverital, coveritalle
coverlet	coverlet, coverlete, coverlett, coverlette, koverlet, koverlete, koverlette
coverleti	coverleti, coverletti
coverleto	coverleto, coverletto
coverletorum	coverletorum
coverlight	coverlight, coverlighte
coverlit	coverlit, coverlite, coverlitt, coverlitte, coverlyt, coverlyte, coverlytt, coverlytte, koverlit, koverlyte
coverliti	coverliti
coverlito	coverlito
coverlitz	coverlitz
covirlet	covirlet, covirlette
cow	cow, cowe, kow
cowbel	cowbel, cowbelle, kowebel, kowebelle
cowmpter	cowmpter
cownpter	cownpter
cowp	cowp, cowpe
cowper	cowper
cowpi	cowpi
cowpul	cowpul, cowpulle
cowrs	cowrs, cowrse
cowshen	cowshen
cowterfet	cowterfet
cowverlet	cowverlet, cowverlette
cr	cr, cur, cure, curr, ker, kir, kyre
cracche	cracche, crach, crache
cracching	cracching, cracchyng, craching
cradel	cradel, cradelle
cradil	cradil, cradille
crai	crai, cray
craiar	craiar, crayar
craish	craish, craissh, craysshe, cursai, cursay, kersai, kersay, kerssai
crak	crak, crake
craker	craker, crakker
cram	cram, crame
cramp	cramp, crampe
crampet	crampet, crampette
cran	cran, crane
crasch	crasch, crasche
crash	crash, crasshe
cred	cred, crede
crek	crek, creke
cremel	cremel, cremele, cremelle, cremil, cremille, cremyll, cremylle
cremensen	cremensen
cremesen	cremesen
cremesin	cremesin, cremesyn
cremez	cremez
cremi	cremi, cremy
cremisen	cremisen, cremysen
cremisin	cremisin, cremysin, cremysyn
cremison	cremison, cremyson
cremsin	cremsin, cremsyn
crenit	crenit, crenytt
cres	cres, cresse, curs, curse, kers, kerse, kerss
crescencia	crescencia
crescloth	crescloth, cresclothe
cresh	cresh, cresshe
crest	crest, creste
cresta	cresta
crestcloth	crestcloth, crestclothe
cresti	cresti
creuc	creuc, creuce, crewc, crewce
creuet	creuet, creuette, curt, curte
creuz	creuz, creuze, crews, crewse, crues, cruese
crewci	crewci, cruci, crucy
crewel	crewel, crewell, cruel, cruell, cruelle
crewet	crewet, crewette
crewsi	crewsi, crusi, crusy
crimel	crimel, crimelle, crimil, crimile, crimille, crimul, crimule, crymylle
crimesan	crimesan
crimesin	crimesin, crymesin, crymesyn
crimisen	crimisen
crimisin	crimisin
crimping	crimping, crympyng
crimsen	crimsen, crimsin, crymsen, crymsyn
crimson	crimson, crymson
crinen	crinen, crynen
crinibu	crinibu
crinsen	crinsen, crynsen
crinul	crinul, crinule
crisp	crisp, cryspe
cristal	cristal, cristall, cristalle, cristil, cristille
cristalin	cristalin, cristaline, cristalyne, crystaline
cristi	cristi, cristy
cristigrai	cristigrai, cristygray
cro	cro
croc	croc, croce, crock, crocke
croci	croci
crol	crol, crolle
cron	cron
crop	crop, crope, croppe
cropeling	cropeling, cropelinge
cropi	cropi, croppi, croppy
cropling	cropling, croplinge, croplyng, croplynge
cros	cros, crose, cross, crosse
crosbo	crosbo, crosbow, crosbowe
crosbough	crosbough, crossboughe
crosbowefili	crosbowefili
crosbowez	crosbowez
crosbowfili	crosbowfili
crosbowi	crosbowi, crosbowy, crossbowy
crosebow	crosebow, crosebowe, crossebowe
crosebowi	crosebowi, crossebowi
crosez	crosez, crossez
crosi	crosi, crossi, crossy
crownid	crownid, crownyd
crowsbow	crowsbow, crowsbowe
crowsbowi	crowsbowi, crowsbowy
cru	cru
cruc	cruc, cruce
crucibu	crucibu
crucifix	crucifix
crucifixez	crucifixez
crucifixi	crucifixi
crucifixo	crucifixo
crud	crud, crude
cruda	cruda
crudarum	crudarum
crudi	crudi
crudo	crudo
crudorum	crudorum
cruet	cruet, cruete, cruette
crueti	crueti, cruetti
cruil	cruil, cruylle
crul	crul, crule, crull, crulle
crup	crup
crus	crus, cruss
crusez	crusez
cruti	cruti
crws	crws, crwse
ctavo	ctavo
cuac	cuac
cubbord	cubbord, cubord, cupbord, cupborde, cupbourd, cupbourde, cuppborde
cuein	cuein, cueyne
cuidam	cuidam
cuilibet	cuilibet, quilibet
cuishen	cuishen, cuysshen, quischen, quishen, quishon, quishone, quison, quisshon, quisson, quyschen, quyshen, quyshene, quyshon, quysshen, quysshon, quysshone, quysson, qwishen, qwishon, qwison, qwisshon, qwisson, qwyshen, qwyshene, qwyshon, qwysshon, qwyssone
cuiu	cuiu, cuju
cuiusdam	cuiusdam, cujusdam
cuiuslibet	cuiuslibet, cujuslibet
culered	culered, cullered
culmin	culmin, culmyn
culorum	culorum
cult	cult
cultel	cultel, cultell
culteli	culteli, cultelli
cultello	cultello, cultelo
cultellorum	cultellorum, cultelorum
cultelltorum	cultelltorum, culteltorum
cultelx	cultelx
cum	cum
cumpaci	cumpaci
cundit	cundit, cundyt
cunditz	cunditz
cunger	cunger
cungr	cungr, cungre
cuni	cuni, cunii
cuniculorum	cuniculorum
cunicuorum	cunicuorum
cup	cup, cupe, cuppe
cupbard	cupbard
cupbordi	cupbordi, cupbordy
cuperi	cuperi
cupi	cupi, cuppi, cuppy, cupy
cupli	cupli
cupri	cupri
cupro	cupro
cura	cura
curac	curac, curace
curacez	curacez
curaciarum	curaciarum
cural	cural, curall, curalle
curan	curan, curran
curant	curant, curante, currante, currantte
curaun	curaun, curraun
curaunt	curaunt, curraunte
curbi	curbi, curby
curchif	curchif, curchiffe, kerchief, kerchiefe, kerchieffe, kerchif, kerchiffe, kirchif, kirchiffe, kyrchife
curcomb	curcomb, curcombe
curie	curie
curta	curta
curtein	curtein, curteyn
curten	curten, curtene
curti	curti
curtin	curtin, curtine, curtyn, curtyne
curtinarum	curtinarum
curtini	curtini
curto	curto
curtorum	curtorum
curtu	curtu
curtum	curtum
cuschen	cuschen
cuschon	cuschon
cushen	cushen, cushin, cushon, cushyn, cusshen, cusshene, cusshin, cusshon, cusshyn
cushi	cushi, cusshi
cushoncloth	cushoncloth, cusshonclothe
cust	cust, cust'
cust'2d	cust'2d
cust'3	cust'3
cust'40	cust'40
cust'7	cust'7
custod	custod, custode
custodia	custodia
custom	custom, custum, custume
custuma	custuma
custumarii	custumarii
custumarum	custumarum
custumato	custumato
custumi	custumi
cut	cut, cute, cutte
cutel	cutel, cuttell, cuttelle
cutelbon	cutelbon, cutilbon, cuttelbon, cuttilbone
cutelboni	cutelboni, cutilboni, cuttelbony, cuttilbony
cutil	cutil, cuttille, cuttylle
cuting	cuting, cutting, cuttinge, cuttyng, cuttynge
cwet	cwet, cwette
cwit	cwit, cwyte, quit
d	d, dde, de, di, dy
da	da
daat	daat, daate
dAbervil	dAbervil, dAbervile
dAcatero	dAcatero
dAcateroo	dAcateroo
dAcoron	dAcoron
dAcoroum	dAcoroum
dAcoroun	dAcoroun
dacr	dacr, dacre
dacra	dacra
dacram	dacram
dacri	dacri, dakri
dacrum	dacrum
dactul	dactul, dactule
dactulorum	dactulorum
dAgafa	dAgafa, dAgapha
dagar	dagar, daggar
dager	dager, dagere, dagger, daggere
daggour	daggour, dagour
dagker	dagker, dagkere
dagswain	dagswain, dagswayne
dai	dai, day, die, dye
daie	daie, daye
daker	daker, dakere, deker
dakeri	dakeri, dekeri
dAlagret	dAlagret, dAlagrete
dAlbania	dAlbania
dAlbert	dAlbert
dalbi	dalbi, dalby
dAlbist	dAlbist
dAldamo	dAldamo
dAldeia	dAldeia, dAldeya
dalena	dalena
dAles	dAles, dAlese
dalisandr	dalisandr, dalisandre
dAlmain	dAlmain, dAlmayne
dAlsa	dAlsa
dAlsan	dAlsan, dAlsane
dAlsor	dAlsor, dAlsore
dAlvis	dAlvis, dAlvyse
dAlzato	dAlzato
dam	dam
dAmadon	dAmadon
damasc	damasc, damasce, damask, damaske
damascen	damascen
damasci	damasci
damasio	damasio
damast	damast
damsk	damsk, damske
dAmster	dAmster
danc	danc, dance, dank, danke
dAncon	dAncon, dAncone
dAncoro	dAncoro
dAndalo	dAndalo
dAndrea	dAndrea
dAndrego	dAndrego
dAndrig	dAndrig, dAndrige
dAndrivesto	dAndrivesto, dAndryvesto
dAnitvor	dAnitvor, dAnytvore
dAntever	dAntever, dAntevere, dAntevor, dAntevore
dAntevori	dAntevori, dAntevory
dAnthon	dAnthon
dAnthonio	dAnthonio
dAntifer	dAntifer, dAntifere
dAntifero	dAntifero
dAntiver	dAntiver, dAntivor, dAntivore, dAntyver, dAntyvor, dAntyvore
dAntiveri	dAntiveri, dAntyvery
dAntivori	dAntivori, dAntivorie, dAntivory, dAntivorye, dAntyvory, dAntyvorye
dAntonio	dAntonio, dAntonyo
dAnwarp	dAnwarp
dar	dar
dAracheta	dAracheta
dAragon	dAragon
dAragos	dAragos, dAragose
dAragoso	dAragoso
dAragoz	dAragoz, dAragoze
dAragus	dAragus, dAragusse
dArbolanch	dArbolanch, dArbolanche
dArcie	dArcie, dArcye
dArest	dArest
dArga	dArga
dArgas	dArgas, dArgasse
dArgement	dArgement
dArisaval	dArisaval, dArissavale
dars	dars, darse
dart	dart, darte
dArtosapalo	dArtosapalo
dAsa	dAsa, dAssa
dashrie	dashrie
dat	dat, date, datte
data	data
dAtagoren	dAtagoren
datam	datam
dAtecero	dAtecero
datez	datez, dattez
dati	dati, daty
datlo	datlo
dato	dato
dattule	dattule, datul
datum	datum
dAudr	dAudr, dAudre
dAudrew	dAudrew
dAurea	dAurea
dav	dav, dave
dAvans	dAvans, dAvanse
dAveris	dAveris, dAverise
davi	davi, davy
dcock	dcock
deal	deal, deale, deall, dealle, deel, deele, deelle, dil, dille
deaurat	deaurat
deaurata	deaurata
deauratarum	deauratarum
deaurati	deaurati
deaurato	deaurato
deauratorum	deauratorum
debent	debent
deberet	deberet
debil	debil, debile, debyll
debili	debili, debilli
debilibu	debilibu
debilium	debilium, debillium
debt	debt
decano	decano
decar	decar, dekar, dikar, dykar
decem	decem
decim	decim
decimo	decimo
decimoquinto	decimoquinto
decker	decker, dekr, dekre
decri	decri
dedli	dedli, dedly
deficit	deficit
defracti	defracti
defuncti	defuncti
degalam	degalam
degeon	degeon, digeon
dei	dei, dey
deind	deind, deinde
deion	deion, dian
dekir	dekir, dekyr, dekyre
del	del, dele, dell, delle
dela	dela, della
delarum	delarum, dellarum
deli	deli, delli, delly, dely
deliverd	deliverd, delivered, delyverd, delyvered
dem	dem
demi	demi, demie, demy, demye
demid	demid, demyd
den	den, dene
denarii	denarii
denariorum	denariorum
dencens	dencens, dencense
dencium	dencium
dent	dent, dente
dEnteber	dEnteber
dentibu	dentibu
dEntiver	dEntiver, dEntivor, dEntyver, dEntyvor
dEntivir	dEntivir, dEntyvyr
dep	dep
departid	departid
depectorum	depectorum
depiciti	depiciti
depict	depict
depicta	depicta
depictarum	depictarum
depicti	depicti, depictti, depycty
depicto	depicto
depictorum	depictorum
deptuatum	deptuatum
deptutatum	deptutatum
deputati	deputati
deputato	deputato
deputatum	deputatum
der	der, dere, dir, dr, dre
dEragoz	dEragoz, dEragoze
deresmolt	deresmolt, deresmolte
derkend	derkend
desimo	desimo
desk	desk, deske
deteni	deteni, deteny
dev	dev
deveria	deveria
deverii	deverii
dewer	dewer
dg	dg, dge
diaculum	diaculum, dyaculum
dial	dial, dialle, dyal, dyalle
diali	diali, dyally
diamand	diamand, dyamande
diamant	diamant
diamanti	diamanti, dyamanti
diaper	diaper, diepar, dyaper, dyapere
diapir	diapir, dyapyr
diapour	diapour, dyapour
diapr	diapr, dyapre
diaqualii	diaqualii
diaul	diaul, diawl, dyaule, dyawle
dic	dic, dice
dict	dict, dicte
dicta	dicta
dictam	dictam, dictum
dictarum	dictarum
dicti	dicti
dicto	dicto
dictorum	dictorum
dictu	dictu
dicunt	dicunt
diebu	diebu
died	died, dyed
diem	diem
dieper	dieper, dyeper
dier	dier, dyer
diferent	diferent, different
digena	digena
digon	digon
diker	diker, dikere, dyker
dikeri	dikeri
dilecti	dilecti
dilectorum	dilectorum
dilow	dilow
dimand	dimand, dymande
dimidia	dimidia
dimidiam	dimidiam, dimidium
dimidie	dimidie, dimidii
dimidio	dimidio
dimidiorum	dimidiorum
dimie	dimie, dymye
ding	ding, dyng
dinger	dinger
diol	diol, diolle, dyolle
diptani	diptani
dipticorum	dipticorum
directa	directa
directi	directi
directo	directo
directum	directum
dIrland	dIrland, dIrlande
dis	dis, disch, dish, dissch, dissh, dysch, dyse, dyssh
disc	disc
dischi	dischi
disci	disci, dishi, disshi, disshy
discorum	discorum
dispersit	dispersit
distav	distav, distave
distavi	distavi, dystavy
div	div, dyve
diver	diver, dyver
diverci	diverci
divercisalii	divercisalii
diveri	diveri
divers	divers, diverse
diversa	diversa
diversarum	diversarum
diversi	diversi
diverso	diverso
diversorum	diversorum
dmundo	dmundo
do	do, du, due
doad	doad, doade
doat	doat, doate
dobbille	dobbille, dobil, dobille
dobel	dobel, dobele, dobelle
dobeler	dobeler
dobelet	dobelet, dobelette, doblet, doblete, doblette
dobl	dobl, doble, dobul, dobulle
doctor	doctor, doctore
dod	dod, dode
doesen	doesen
dog	dog, doge, dogge
dogchain	dogchain, dogchayne
dogchainez	dogchainez, dogchaynez
dogen	dogen, doggene, doggion, dogion, dogyon
dogeon	dogeon, dogeone
dogeounz	dogeounz
doger	doger, dogger
dogeston	dogeston, dogestone, doggestone
dogestoni	dogestoni, doggestony
dogfisch	dogfisch
doggien	doggien, dogien, dogyen
doghok	doghok, doghoke
dogon	dogon
dogskin	dogskin, dogskynne
dogston	dogston, dogstone
dogstonez	dogstonez
dogstoni	dogstoni, dogstony
dogstonz	dogstonz
doion	doion, doione
doistrech	doistrech, doistreche
dol	dol
dolei	dolei
dolet	dolet, dollette
doli	doli, dolii, dolli, dollii, doly
dolia	dolia
dolio	dolio, dollio
doliorum	doliorum
dolium	dolium
domicilio	domicilio
domin	domin, domine
domina	domina
domini	domini
domino	domino
don	don, done
dooad	dooad, dooade, dood, doode
doosen	doosen, doossen, dusen
doplet	doplet, doplette
dor	dor, dore, dorre
dOrdonea	dOrdonea
dOreo	dOreo, dOrio, dOrreo, dOryo
dors	dors, dorse
dorsi	dorsi
dorso	dorso
dorum	dorum
dosei	dosei, dossei
dosein	dosein, doseyn, doseyne, dossein, dosseyn
doseini	doseini, dosseini
dosen	dosen, dosene, dosin, doson, dossen, dossene, dossin, dossine, dosson, dossone, dossyn, dossyne, dosun, dosyn, dosyne
dosena	dosena, dosenna, dossena
dosenam	dosenam, dossenam
dosenarum	dosenarum, dossenarum
dosenez	dosenez, dossenez
doseni	doseni, dosenni, doseny, dosseni, dossenni, dosseny
dosenia	dosenia, dossenia
doseniu	doseniu, dosseniu
dosensi	dosensi, dossensi
doser	doser, dosere
doshen	doshen, dosshen
dosienc	dosienc, dossyence
dosini	dosini, dosyny
doubel	doubel, doubele, dowbl, dowble
doubelet	doubelet, dowblet, dowblete, dowblette
doubl	doubl, double, dubl, duble
doublet	doublet, doublette
doubli	doubli, doubly
dougla	dougla
doula	doula, dowla
doun	doun, doune
doupl	doupl, douple
dovet	dovet, dovett
dowbil	dowbil, dowbill
dowbli	dowbli, dowbly
dowcemer	dowcemer
dowghla	dowghla
dowl	dowl, dowle
