Canonical_Place	Merge_Into	Aliases
Boleyn		Boleyn, Bollene, Boulogne, Bullene
Bologne		Bologne
Botston		Botston
Bourgneuf		Bourgneuf
Boyle		Boyle
Bradwell on Sea or Bradwell Waterside		Bradwell on Sea or Bradwell Waterside, Bradwelle
Brandlyn		Brandlyn
Brielle		Brielle
Brissard		Brissard
Brixham		Brixham
Bruges		Bruges, Brugges
Bullon		Bullon
Burdeos		Burdeos
Burneham		Burneham, Burnham, Burnham on Crouch
Cadez		Cadez, Cádiz
Cadiz		Cadiz, Kadis
Cale		Cale
Caleis		Caleis
Calys		Calys
Camena		Camena
Cameno		Cameno
Camfer		Camfer, la Veer, Veer, Veere
Caminha		Caminha, Camyna
Canyn		Canyn
Carmo		Carmo
Carrand		Carrand
Castro		Castro, Castrourdiales
Cathena		Cathena, la Cathena
Catro		Catro
Caudebec-en-Caux		Caudebec-en-Caux
Cesewell		Cesewell
Cherbourg		Cherbourg
Chester		Chester
Chestland		Chestland
Chichester		Chichester
Cohithe		Cohithe
Colmount		Colmount
Concepsion		Concepsion
Condy		Condy
Conquet		Conquet, Conquyt, Le Conquet
Corunna		Corunna, Groyne
Covehithe		Covehithe, Covehythe
Cracow		Cracow
Criste		Criste
Crosset		Crosset
Crowdon		Crowdon
Croydon		Croydon
Cuttevilla		Cuttevilla
Dartford		Dartford, Derteforth, Dertford, Dertforde
Dasto		Dasto
de London'		de London'
Debe		Debe, Deva, Deva in Biskaia, Deve, la Dewe
Delavair		Delavair
Denton		Denton, Luke
Depe		Depe, Dieppe, Dipe, Edgware
Depford		Depford, Deptford, Detford
Dersto		Dersto
Dewesto		Dewesto, Dewsto
Doncaster		Doncaster
Dondara		Dondara, Ondárroa, Undarra
Donkyrk		Donkyrk
Dordrecht		Dordrecht, Dordright, Dordryght, Durdraight, Durdraugh, Durdraught, Durdreight, Durdreyght, Durdright, van Derdroit
Dorth		Dorth
Douai		Douai, Dowet
Dover		Dover, Dovir, Dovorria, Dovyr
Dust		Dust
Earythe		Earythe, Erith, Eryth, Eyreth, F
East or West Malling		East or West Malling, Malling, Mallyng
Easton Bavents		Easton Bavents, Eston Bavent
Egmond		Egmond, Egmond in Holandia
Elysdyk		Elysdyk
Enkhuizen		Enkhuizen, Inkhous in Holandia
Eno Granso		Eno Granso
Ernemouthe		Ernemouthe
Eston		Eston
Falmouth		Falmouth
Feckham in Normandia		Feckham in Normandia, Fekham, Fécamp
Flissing in Selandia		Flissing in Selandia
Floure		Floure
Fobbing		Fobbing
Fonte Rabia		Fonte Rabia, Fonte Raby, Fonte Ravea, Fonte Revea, Fonteraby, Fonteravea, Founteraby, Fountrabi, Fountraby, Fuenterrabia, Gadalopo
Fuenterrabía		Fuenterrabía
Gadalope		Gadalope, Gadelope
Galicia		Galicia
Gardalupa		Gardalupa
Gardelupa		Gardelupa
Gatare		Gatare, Gettary, Guetaria
Gdańsk		Gdańsk
Gelyngham		Gelyngham, Gillingam, Gillingham, Gyllingham, Gyllyngham, Jellingham, Jyllyngham
Genesia		Genesia, Genua
Genoa		Genoa, Janua
Geronn'		Geronn', Gerrand, Gerrond, Guérande
Gippewico		Gippewico, Ipiswiche, Ippeswiche, Ipsewyche, Ipswich, Ipswiche, Jenighowe, Yppewich
Goes		Goes
Gotland		Gotland
Greenhithe		Greenhithe, Grenehithe, Grenehyth, Grenehythe
Guernsey		de Gernsey, Guernsey
Guetaría		Guetaría
Guipúscoa		Guipúscoa
Gylis		Gylis
Haarlem		Haarlem, Harlam, Herlam in Holandia
Halstowe		Halstowe, Lower Halstow
Harderwijk		Harderwijk
Hareflewe		Hareflewe, Harfleur, Harflew, Harflewe
Harewyche		Harewyche, Harwich, Harwiche, Harwych
Hastinges		Hastinges, Hastings, Hastyng, Hastynges, Hastyngs, Herslough
Hatfelde		Hatfelde
Hatfield Peverel		Hatfield Peverel
Henzina		Henzina, laHenzina
Herwych		Herwych
Herwyche		Herwyche
Hith		Hith, Hithe, Hyde, Hythe
Hogo		Hogo, la Hogo
Home port not named		Home port not named, MartyneMartin, MartynMartin
home port omitted		home port omitted
Honfleur		Honfleur
Hospital		Hospital
Houndfflete		Houndfflete, Houndflete
Hounflewe		Hounflewe
Hulbrege		Hulbrege, Hulbridge, Hulbrige, Hulbrydge, Hulbryge, Hullbridge, Hulle Brudge
Humflete		Humflete
Hunslewe		Hunslewe
Iken		Iken, Ikyn
Ile d’Oleron		Ile d’Oleron
Inda		Inda
Insula de Scapeia		Insula de Scapeia
Isle of Wight		Isle of Wight, Wyght
Jamys		Jamys
Jarowe		Jarowe, Jarrow
Jersey		Jersey, Jerssey
Jippeswich		Jippeswich
Jur'		Jur'
Kadys		Kadys
Kaliningrad		Kaliningrad
Kampen		Kampen
Kerteley		Kerteley
Keston		Keston
Kingswear		Kingswear, Kyngsware
Kirkeley		Kirkeley, Kirkley, Kyrkeley, Kyrteley, Kyrtley, Leura
Kyrteley see Kirkley		Kyrteley see Kirkley
Königsberg		Königsberg
Landernew		Landernew
Latud		Latud
Lee		Lee, Legh, Leghe, Leigh, Leighe, Ligh, Lye, Lygh, Lyghe
Leicester		Leicester
Leket		Leket
Lequeitio		Lequeitio, Lequeto
Lequet		Lequet
Lescudye		Lescudye
Lewe		Lewe
Lewystofte		Lewystofte
Leystof		Leystof, Leystoft, Leystofte, Lowestoft
Lincoln		Lincoln
Lincolnshire		Lincolnshire
Lisbon		Lisbon, Lushebourn, Lusshebon
Llandaff		Llandaff
Lothury		Lothury
Lotidero		Lotidero
Lotyd		Lotyd
Lotydew		Lotydew
Lotys		Lotys
Lucca		Lucca
Luce		Luce, St Jean de Luz
Luen		Luen
Lyce van Flysshyng		Lyce van Flysshyng
Lymost		Lymost
Lyon		Lyon, Lyons, St Pol de Léon
Maidestone		Maidestone, Maidstone, Maydeston, Maydestone, Maydstone
Manningtree		Manningtree, Manytre
March		March
Margate		Margate, Mergate
Markyng		Markyng
Marrotyk		Marrotyk, Montrego, Montryga, Motrico, Muttreco
Medway		Medway, Medwey
Melhale		Melhale
Mellyng		Mellyng
Meltin		Meltin
Melton		Melton, Melton Shore, Milton, Milton Regis, Milton Shore, Mylton, Mylton Shore
Mergeret		Mergeret
Mergret		Mergret
Milhall		Milhall, Milhalle
Milhawe		Milhawe
Montrose		Montrose, Scocia
Morbian		Morbian, Morbihan, Morbyan
Moreles		Moreles, Morlaix, Morles
Mores		Mores
Nantes		Nantes, Nauntes
Never		Never
Newcastell		Newcastell, Newcastelle, Newcastle upon Tyne, Newcastle-upon-Tyne, Novo Castro
Newcastle		Newcastle
Newcastle on Tyne		Newcastle on Tyne
Newe Haven		Newe Haven, Newhaven
Northampton		Northampton
Northeflete		Northeflete, Northflete
Notredam		Notredam
Nova Terra		Nova Terra
Oostende		Oostende, Ostend, Ostende, Ustende in Flandria
Orewell		Orewell, Orewell', Orwell, Orwelle
Orford		Orford, Ortfforde
